Longitude,Latitude,GrainMassFlow,GPSTime,CycleDuration,TravelSpeed,SwathWidth,GrainMoisture,Header,Pass,Field,Load,LoadNumber,Crop,GPSStatus,PDOP,Altitude
-85.164400,40.271480,10.49,134880,1,56,15,15.8,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164383,40.271480,9.05,134881,1,56,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.164367,40.271480,8.40,134882,1,57,15,16.1,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164348,40.271478,9.39,134883,1,58,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164333,40.271478,9.68,134884,1,57,15,15.8,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164315,40.271480,10.30,134885,1,56,15,15.8,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164297,40.271477,9.23,134886,1,56,15,15.6,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.164282,40.271477,8.34,134887,1,56,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.164265,40.271478,7.19,134888,1,57,15,16.1,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.164248,40.271478,7.40,134889,1,57,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164232,40.271477,7.07,134890,1,57,15,15.9,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164215,40.271478,8.39,134891,1,57,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,295
-85.164197,40.271477,7.02,134892,1,59,15,16.1,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164182,40.271478,7.18,134893,1,57,15,15.9,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164165,40.271477,7.43,134894,1,56,15,16.2,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164148,40.271475,8.06,134895,1,57,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164133,40.271475,7.89,134896,1,57,15,16.2,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164113,40.271478,6.61,134897,1,57,15,16.3,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164100,40.271475,6.19,134898,1,55,15,16.1,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164085,40.271475,6.40,134899,1,55,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164068,40.271473,5.96,134900,1,55,15,15.9,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164053,40.271472,6.03,134901,1,55,15,15.8,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164042,40.271470,5.04,134902,1,49,15,16.2,Down,1,0,End Rows,1,Corn,2,2.0,294
-85.164030,40.271468,5.71,134903,1,45,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,293
-85.164023,40.271470,5.62,134904,1,0,15,16.0,Up,1,0,End Rows,1,Corn,2,2.0,293
-85.164017,40.271467,5.95,134905,1,0,15,15.9,Up,1,0,End Rows,1,Corn,2,2.0,293
-85.164007,40.271458,6.23,134906,1,0,15,16.1,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.164003,40.271452,5.87,134907,1,0,15,16.3,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.163997,40.271443,5.02,134908,1,0,15,16.4,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.163995,40.271435,4.99,134909,1,0,15,16.3,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.163993,40.271423,5.06,134910,1,0,15,16.2,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.163998,40.271413,4.72,134911,1,0,15,16.3,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.164002,40.271407,4.18,134912,1,0,15,16.1,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.164000,40.271408,3.78,134913,1,0,15,16.5,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.164000,40.271410,3.04,134914,1,0,15,16.4,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.164000,40.271415,2.98,134915,1,0,15,16.3,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.163998,40.271420,1.69,134916,1,0,15,16.6,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.163998,40.271423,1.24,134917,1,0,15,16.8,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.163997,40.271428,1.42,134918,1,0,15,16.5,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.163997,40.271433,1.34,134919,1,0,15,16.3,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.163987,40.271432,0.83,134920,1,0,15,16.3,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.163987,40.271432,0.85,134921,1,0,15,16.3,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.163993,40.271427,0.62,134922,1,0,15,16.3,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.164002,40.271422,0.42,134923,1,0,15,16.3,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.164007,40.271420,0.00,134924,1,0,15,16.3,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.164015,40.271417,0.00,134925,1,0,15,16.3,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.164017,40.271415,0.00,134926,1,0,15,16.3,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.164013,40.271415,0.00,134927,1,0,15,16.3,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.164007,40.271422,0.00,134929,1,0,15,16.3,Up,1,0,End Rows,1,Corn,2,2.0,290
-85.164000,40.271418,0.00,134930,1,0,15,16.3,Up,1,0,End Rows,1,Corn,2,2.0,290
-85.164003,40.271420,0.00,134931,1,0,15,16.3,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.164008,40.271420,0.00,134932,1,0,15,16.3,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.164017,40.271420,0.00,134934,1,0,15,16.3,Up,1,0,End Rows,1,Corn,2,2.0,291
-85.164023,40.271420,0.00,134935,1,0,15,16.3,Up,1,0,End Rows,1,Corn,2,2.0,290
